title,discount_price,original_price,discount,link,image,price
"Whirlpool 207 L 5 Star Icemagic Pro Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 5S INV SAPPHIRE ABYSS-Z, Base Stand with Drawer, 2023 Model)",19190,25050,23,https://www.amazon.in/Whirlpool-Refrigerator-230-IMPRO-ROY/dp/B0BSRVNCYC/ref=sr_1_1?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-1,https://m.media-amazon.com/images/I/61-gYNNmYNL._AC_UY218_.jpg,
"Mavis Lave Mini 10 Liters Portable Humanized Handle Design Fridge Refrigerator for Office, Home (Pink)",12559,25099,50,https://www.amazon.in/Mavis-Lave-Portable-Humanized-Refrigerator/dp/B095BT9VXW/ref=sr_1_2?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-2,https://m.media-amazon.com/images/I/61A7jNRYyeS._AC_UY218_.jpg,
"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+)",25990,37099,30,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-I292RPZX/dp/B08X72GY5Q/ref=sr_1_3?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-3,https://m.media-amazon.com/images/I/61+pdg8CfmL._AC_UY218_.jpg,
"LG 260 L 2 Star Inverter Frost-Free Double Door Refrigerator (GL-S292DSDY, Scarlet Dazzle, Convertible, 2022 Model)",26199,29990,13,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-S292DSDY-Convertible/dp/B084TGWY38/ref=sr_1_4?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-4,https://m.media-amazon.com/images/I/71FYvmmTgNL._AC_UY218_.jpg,
"LG 675 L Wi-Fi Inverter Frost-Free Side-by-Side Refrigerator (GC-C247UGLW, White)",109990,132390,17,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GC-C247UGLW/dp/B07K4HTM6J/ref=sr_1_5?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-5,https://m.media-amazon.com/images/I/71Zf20u5KTL._AC_UY218_.jpg,
"LG 655 L Frost-Free Inverter Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",72990,120699,40,https://www.amazon.in/LG-Frost-Free-Inverter-Refrigerator-GL-B257HDSY/dp/B0BX4FBVQB/ref=sr_1_6?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-6,https://m.media-amazon.com/images/I/61KTSu7mEbL._AC_UY218_.jpg,
"LG 655 L Frost-Free Inverter Wi-Fi Side-By-Side Refrigerator (2023 Model, GL-B257DLWX, Linen White, Door Cooling+ with Hygiene Fresh)",98994,150699,34,https://www.amazon.in/LG-Frost-Free-Inverter-Refrigerator-GL-B257DLWX/dp/B0C28MKW34/ref=sr_1_7?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-7,https://m.media-amazon.com/images/I/71+ZZ80MTEL._AC_UY218_.jpg,
"LG 224 L 4 Direct-Cool Smart Inverter Compressor Single-Door Refrigerator (GL-D241ASCY, Scarlet Charm, Base stand with Drawer, 2023 Model)",20990,25790,19,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D241ASCY/dp/B084YBZ5YV/ref=sr_1_8?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-8,https://m.media-amazon.com/images/I/71aU0VwahZL._AC_UY218_.jpg,
"LG 240 L 3 Frost-Free Smart Inverter Double Door Refrigerator ( GL-S292RDSX, Dazzle Steel, Convertible & Multi Air Flow Cooling)",26990,37099,27,https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-S292RDSX-Convertible/dp/B08X711N4H/ref=sr_1_9?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-9,https://m.media-amazon.com/images/I/61FnpIDiZHL._AC_UY218_.jpg,
"Vybe Mini Beauty Fridge 6 Litre/Green:Portable Cosmetics Cooler & Warmer Thermoelectric-AC/DC Car Mini Chiller. Store- Face Mask/Serums,Moisturizers,Toners, Cream,Nail Polish.",4849,8999,46,https://www.amazon.in/Beauty-Fridge-Litre-Green-Thermoelectric-AC/dp/B0B463K11V/ref=sr_1_11?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-11,https://m.media-amazon.com/images/I/41FV21sAYbL._AC_UY218_.jpg,
"Vybe Mini Beauty Fridge 4 Litre/White:Portable Cosmetics Cooler & Warmer Thermoelectric-AC/DC Car mini Chiller. Store- Face Mask/Serums, Moisturizers, Toners, Cream, Nail Polish, Cosmetics- Enamel White (AZ22_VYBE1001)",4449,7499,41,https://www.amazon.in/Beauty-Fridge-Litre-White-Thermoelectric-AC/dp/B0B4661R7G/ref=sr_1_12?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-12,https://m.media-amazon.com/images/I/41v6H3-uYzL._AC_UY218_.jpg,
"Haier 42 L 5 Star Mini Bar Single Door Refrigerator Appliances (HRD-55KS, Black Steel)",9490,13490,30,https://www.amazon.in/Haier-Single-Refrigerator-Appliances-HRD-55KS/dp/B0CFVLVD63/ref=sr_1_13?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-13,https://m.media-amazon.com/images/I/51Gbs+RpZDL._AC_UY218_.jpg,
"Mini Fridge, 7.64 X 3.54 X 3.54 inch Portable Cool Quickly Mini USB Refrigerator for Home Office for Hotel Travel for Car(Black)",5599,11199,50,https://www.amazon.in/Fridge-Portable-Quickly-Refrigerator-Office/dp/B09NM33DZX/ref=sr_1_14?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-14,https://m.media-amazon.com/images/I/618TmXmsjrL._AC_UY218_.jpg,
"LEONARD USA 52 L Inverter Toughened Glass Door Mini Fridge/Wine Chiller with LED Interior Light & Temperature Control for Room, Home, Office or Bar (Based on American Technology)",20990,21990,5,https://www.amazon.in/LEONARD-Inverter-Toughened-Temperature-Technology/dp/B08WJMW2FF/ref=sr_1_15?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-15,https://m.media-amazon.com/images/I/710IEqi0ecL._AC_UY218_.jpg,
"LEONARD USA 52 L Inverter Toughened Glass Door Mini Fridge with LED Interior Light & Temperature Control for Home, Office or Bar (Based on American Technology) (Black, LEUSA60GDWC, Single Door)",20990,21990,5,https://www.amazon.in/LEONARD-Toughened-Refrigerator-Temperature-Technology/dp/B08FZRV5LJ/ref=sr_1_16?keywords=lg+fridge+10+liters&qid=1707746548&sr=8-16,https://m.media-amazon.com/images/I/710IEqi0ecL._AC_UY218_.jpg,
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,148900,159900,7,https://www.amazon.in/Apple-iPhone-Pro-Max-256/dp/B0CHWV2WYK/ref=sr_1_1?keywords=iphone+14+pro+max&qid=1707746563&sr=8-1,https://m.media-amazon.com/images/I/81Os1SDWpcL._AC_UY218_.jpg,
