link,image,title,discount_price,original_price,discount
https://www.amazon.in/ASUS-SmartChoice-i5-11400H-GeForce-FX506HF-HN025W/dp/B0C27SD9YR?ref_=Oct_DLandingS_D_cc35aef3_0,"https://m.media-amazon.com/images/I/41rafnfnlqL._AC_SR400,600_.jpg","ASUS TUF Gaming F15, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, Gaming Laptop (16GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W",52990,80990,35
https://www.amazon.in/ASUS-i5-11400H-RTX-3050-Graphics-FX506HC-HN089W/dp/B0C7QWHQK6?ref_=Oct_DLandingS_D_cc35aef3_1,"https://m.media-amazon.com/images/I/41LDfnScXZS._AC_SR400,600_.jpg","ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i5-11400H 11th Gen, RTX 3050 4GB Graphics, Gaming Laptop (8GB/512GB SSD/90WHrs Battery/Windows 11/Black/2.3 kg), FX506HC-HN089W",56990,85990,34
https://www.amazon.in/Dell-Gaming-i5-12500H-39-62cm-Backlit/dp/B0C918JGBM?ref_=Oct_DLandingS_D_cc35aef3_2,"https://m.media-amazon.com/images/I/31uYfs9jPML._AC_SR400,600_.jpg","Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg",75990,97115,22
https://www.amazon.in/Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CQP1T2VW?ref_=Oct_DLandingS_D_cc35aef3_3,"https://m.media-amazon.com/images/I/4144VzbbZ6L._AC_SR400,600_.jpg","Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51",70990,87999,19
https://www.amazon.in/Dell-G15-5520-Gaming-i5-12500H-39-62Cms/dp/B0BQJD5P52?ref_=Oct_DLandingS_D_cc35aef3_4,"https://m.media-amazon.com/images/I/31uYfs9jPML._AC_SR400,600_.jpg","Dell G15-5520 Gaming Laptop, Intel i5-12500H/8GB DDR5/512GB SSD/Win 11 + MSO'21/NVIDIA RTX 3050 (4GB GDDR6)/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/Backlit KB Orange/Dark Shadow Grey/2.81kg",64990,86705,25
https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11SC-1629IN/dp/B0CJ9QYGTD?ref_=Oct_DLandingS_D_cc35aef3_5,"https://m.media-amazon.com/images/I/41Sf4XUBhKL._AC_SR400,600_.jpg","MSI GF63 Thin, Intel 11th Gen. i5-11260H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce GTX 1650 Max Q,GDDR6 4GB/Black/2.04Kg), 11SC-1629IN",45990,81990,44
https://www.amazon.in/MSI-i5-11260H-Windows-GeForce-11SC-1477IN/dp/B0C6F9GMW1?ref_=Oct_DLandingS_D_cc35aef3_6,"https://m.media-amazon.com/images/I/41Sf4XUBhKL._AC_SR400,600_.jpg","MSI GF63 Thin, Intel Core i5-11260H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce GTX 1650, GDDR6 4GB/Black/1.8Kg), 11SC-1477IN",42990,78990,46
https://www.amazon.in/HP-Powered-16-1-inch-Backlit-s0094AX/dp/B0CDG6TM66?ref_=Oct_DLandingS_D_cc35aef3_7,"https://m.media-amazon.com/images/I/41ioAevcvIL._AC_SR400,600_.jpg","HP Victus Gaming Laptop, AMD Ryzen 7 7840HS AI powered, 6GB RTX 3050 GPU, 16.1-inch (40.9 cm), 95W TGP, FHD, IPS, 144Hz, 16GB DDR5, 1TB SSD, 300 nits, RGB Backlit KB, B&O (MSO, Blue, 2.29 kg), s0094AX",81990,99527,18
https://www.amazon.in/MSI-Katana-12UCOK-Gaming-Laptop/dp/B09XX2G3ND?ref_=Oct_DLandingS_D_cc35aef3_8,"https://m.media-amazon.com/images/I/41pJHZ1-GvL._AC_SR400,600_.jpg","MSI Katana GF66, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA RTX 3050 4GB GDDR6/Black/2.25Kg), 12UCOK-693IN",69990,95990,27
https://www.amazon.in/ASUS-i5-11400H-17-3-inch-GeForce-FX706HF-HX018W/dp/B0C27VNNWH?ref_=Oct_DLandingS_D_cc35aef3_9,"https://m.media-amazon.com/images/I/41rafnfnlqL._AC_SR400,600_.jpg","ASUS TUF Gaming F17, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, Gaming Laptop (8GB/512GB SSD/4GB NVIDIA GeForce RTX 2050/Win 11/ RGB Backlit KB/Black/2.60 kg), FX706HF-HX018W",49990,77990,36
